Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2025-05-02,16:18:25.245204,1746195505.245204,s,420.182964,s,39.609375,mV,1.4385000467300415,V,52.1875,°C
2025-05-02,16:18:30.218375,1746195510.218375,s,425.156135,s,39.65625,mV,1.4359999895095825,V,51.875,°C
2025-05-02,16:18:35.246870,1746195515.24687,s,430.18463,s,39.703125,mV,1.433750033378601,V,51.5625,°C
2025-05-02,16:18:40.221124,1746195520.221124,s,435.158884,s,39.75,mV,1.43149995803833,V,51.26250076293945,°C
2025-05-02,16:18:45.251023,1746195525.251023,s,440.188783,s,39.7890625,mV,1.4293750524520874,V,50.974998474121094,°C
2025-05-02,16:18:50.222333,1746195530.222333,s,445.160093,s,39.828125,mV,1.4272500276565552,V,50.70000076293945,°C
2025-05-02,16:18:55.252071,1746195535.252071,s,450.189831,s,39.8671875,mV,1.425125002861023,V,50.42499923706055,°C
2025-05-02,16:19:00.243735,1746195540.243735,s,455.181495,s,39.8984375,mV,1.4229999780654907,V,50.162498474121094,°C
2025-05-02,16:19:05.255270,1746195545.25527,s,460.19303,s,39.9375,mV,1.4210000038146973,V,49.900001525878906,°C
2025-05-02,16:19:10.245310,1746195550.24531,s,465.18307,s,39.96875,mV,1.4190000295639038,V,49.63750076293945,°C
2025-05-02,16:19:15.258095,1746195555.258095,s,470.195855,s,39.9921875,mV,1.4171249866485596,V,49.400001525878906,°C
2025-05-02,16:19:20.246403,1746195560.246403,s,475.184163,s,40.0234375,mV,1.4152499437332153,V,49.162498474121094,°C
2025-05-02,16:19:25.259090,1746195565.25909,s,480.19685,s,40.046875,mV,1.4134999513626099,V,48.92499923706055,°C
2025-05-02,16:19:30.266818,1746195570.266818,s,485.204578,s,40.078125,mV,1.4116250276565552,V,48.70000076293945,°C
2025-05-02,16:19:35.260240,1746195575.26024,s,490.198,s,40.09375,mV,1.409749984741211,V,48.474998474121094,°C
2025-05-02,16:19:40.271029,1746195580.271029,s,495.208789,s,40.125,mV,1.4081250429153442,V,48.26250076293945,°C
2025-05-02,16:19:45.261007,1746195585.261007,s,500.198767,s,40.140625,mV,1.406499981880188,V,48.04999923706055,°C
2025-05-02,16:19:50.272233,1746195590.272233,s,505.209993,s,40.1640625,mV,1.4047499895095825,V,47.849998474121094,°C
2025-05-02,16:19:55.264680,1746195595.26468,s,510.20244,s,40.1875,mV,1.403249979019165,V,47.650001525878906,°C
2025-05-02,16:20:00.273374,1746195600.273374,s,515.211134,s,40.203125,mV,1.4016250371932983,V,47.45000076293945,°C
2025-05-02,16:20:05.266655,1746195605.266655,s,520.204415,s,40.2265625,mV,1.4001250267028809,V,47.26250076293945,°C
2025-05-02,16:20:10.275900,1746195610.2759,s,525.21366,s,40.2421875,mV,1.3984999656677246,V,47.07500076293945,°C
2025-05-02,16:20:15.269199,1746195615.269199,s,530.206959,s,40.2578125,mV,1.397125005722046,V,46.88750076293945,°C
2025-05-02,16:20:20.283002,1746195620.283002,s,535.220762,s,40.2734375,mV,1.3956249952316284,V,46.712501525878906,°C
2025-05-02,16:20:25.269618,1746195625.269618,s,540.207378,s,40.2890625,mV,1.394374966621399,V,46.54999923706055,°C
2025-05-02,16:20:30.284535,1746195630.284535,s,545.222295,s,40.3046875,mV,1.3928749561309814,V,46.375,°C
2025-05-02,16:20:35.270122,1746195635.270122,s,550.207882,s,40.3203125,mV,1.3916250467300415,V,46.224998474121094,°C
2025-05-02,16:20:40.285809,1746195640.285809,s,555.223569,s,40.3359375,mV,1.3902499675750732,V,46.04999923706055,°C
2025-05-02,16:20:45.270452,1746195645.270452,s,560.208212,s,40.34375,mV,1.3890000581741333,V,45.900001525878906,°C
2025-05-02,16:20:50.286981,1746195650.286981,s,565.224741,s,40.3515625,mV,1.3877500295639038,V,45.75,°C
2025-05-02,16:20:55.271137,1746195655.271137,s,570.208897,s,40.3671875,mV,1.386625051498413,V,45.599998474121094,°C
2025-05-02,16:21:00.288210,1746195660.28821,s,575.22597,s,40.375,mV,1.3853750228881836,V,45.45000076293945,°C
2025-05-02,16:21:05.271493,1746195665.271493,s,580.209253,s,40.390625,mV,1.384124994277954,V,45.3125,°C
2025-05-02,16:21:10.289302,1746195670.289302,s,585.227062,s,40.3984375,mV,1.3830000162124634,V,45.17499923706055,°C
2025-05-02,16:21:15.272902,1746195675.272902,s,590.210662,s,40.40625,mV,1.3818750381469727,V,45.037498474121094,°C
2025-05-02,16:21:20.290176,1746195680.290176,s,595.227936,s,40.421875,mV,1.3808749914169312,V,44.912498474121094,°C
2025-05-02,16:21:25.276179,1746195685.276179,s,600.213939,s,40.4296875,mV,1.3797500133514404,V,44.787498474121094,°C
2025-05-02,16:21:30.291410,1746195690.29141,s,605.22917,s,40.4375,mV,1.378749966621399,V,44.662498474121094,°C
2025-05-02,16:21:35.277479,1746195695.277479,s,610.215239,s,40.4453125,mV,1.377750039100647,V,44.537498474121094,°C
2025-05-02,16:21:40.293205,1746195700.293205,s,615.230965,s,40.453125,mV,1.3767499923706055,V,44.412498474121094,°C
2025-05-02,16:21:45.279269,1746195705.279269,s,620.217029,s,40.4609375,mV,1.375749945640564,V,44.29999923706055,°C
2025-05-02,16:21:50.296847,1746195710.296847,s,625.234607,s,40.46875,mV,1.3748749494552612,V,44.1875,°C
2025-05-02,16:21:55.280234,1746195715.280234,s,630.217994,s,40.4765625,mV,1.3738750219345093,V,44.07500076293945,°C
2025-05-02,16:22:00.301229,1746195720.301229,s,635.238989,s,40.484375,mV,1.3730000257492065,V,43.962501525878906,°C
2025-05-02,16:22:05.280626,1746195725.280626,s,640.218386,s,40.484375,mV,1.3721250295639038,V,43.86249923706055,°C
2025-05-02,16:22:10.302403,1746195730.302403,s,645.240163,s,40.5,mV,1.371250033378601,V,43.75,°C
2025-05-02,16:22:15.281361,1746195735.281361,s,650.219121,s,40.5,mV,1.3703750371932983,V,43.650001525878906,°C
2025-05-02,16:22:20.303774,1746195740.303774,s,655.241534,s,40.5078125,mV,1.3695000410079956,V,43.54999923706055,°C
2025-05-02,16:22:25.281841,1746195745.281841,s,660.219601,s,40.515625,mV,1.368749976158142,V,43.45000076293945,°C
2025-05-02,16:22:30.305210,1746195750.30521,s,665.24297,s,40.515625,mV,1.3680000305175781,V,43.36249923706055,°C
2025-05-02,16:22:35.282180,1746195755.28218,s,670.21994,s,40.5234375,mV,1.3672499656677246,V,43.26250076293945,°C
2025-05-02,16:22:40.306556,1746195760.306556,s,675.244316,s,40.53125,mV,1.3665000200271606,V,43.17499923706055,°C
2025-05-02,16:22:45.282557,1746195765.282557,s,680.220317,s,40.5390625,mV,1.3657499551773071,V,43.087501525878906,°C
2025-05-02,16:22:50.307848,1746195770.307848,s,685.245608,s,40.5390625,mV,1.3650000095367432,V,43.0,°C
2025-05-02,16:22:55.282903,1746195775.282903,s,690.220663,s,40.5390625,mV,1.3642499446868896,V,42.92499923706055,°C
2025-05-02,16:23:00.309240,1746195780.30924,s,695.247,s,40.546875,mV,1.3634999990463257,V,42.82500076293945,°C
2025-05-02,16:23:05.283289,1746195785.283289,s,700.221049,s,40.5546875,mV,1.362874984741211,V,42.75,°C
2025-05-02,16:23:10.310462,1746195790.310462,s,705.248222,s,40.5546875,mV,1.3622499704360962,V,42.67499923706055,°C
2025-05-02,16:23:15.283947,1746195795.283947,s,710.221707,s,40.5546875,mV,1.3615000247955322,V,42.599998474121094,°C
2025-05-02,16:23:20.311638,1746195800.311638,s,715.249398,s,40.5625,mV,1.3608750104904175,V,42.51250076293945,°C
2025-05-02,16:23:25.284371,1746195805.284371,s,720.222131,s,40.5625,mV,1.3602499961853027,V,42.4375,°C
2025-05-02,16:23:30.313201,1746195810.313201,s,725.250961,s,40.5703125,mV,1.359624981880188,V,42.36249923706055,°C
2025-05-02,16:23:35.286034,1746195815.286034,s,730.223794,s,40.5703125,mV,1.359125018119812,V,42.29999923706055,°C
2025-05-02,16:23:40.317960,1746195820.31796,s,735.25572,s,40.578125,mV,1.3585000038146973,V,42.224998474121094,°C
2025-05-02,16:23:45.286698,1746195825.286698,s,740.224458,s,40.578125,mV,1.3578749895095825,V,42.150001525878906,°C
2025-05-02,16:23:50.319357,1746195830.319357,s,745.257117,s,40.5859375,mV,1.3573750257492065,V,42.087501525878906,°C
2025-05-02,16:23:55.287107,1746195835.287107,s,750.224867,s,40.5859375,mV,1.356874942779541,V,42.025001525878906,°C
2025-05-02,16:24:00.322853,1746195840.322853,s,755.260613,s,40.5859375,mV,1.3562500476837158,V,41.962501525878906,°C
2025-05-02,16:24:05.287430,1746195845.28743,s,760.22519,s,40.5859375,mV,1.3557499647140503,V,41.900001525878906,°C
2025-05-02,16:24:10.323758,1746195850.323758,s,765.261518,s,40.59375,mV,1.3551249504089355,V,41.837501525878906,°C
2025-05-02,16:24:15.287855,1746195855.287855,s,770.225615,s,40.59375,mV,1.3547500371932983,V,41.775001525878906,°C
2025-05-02,16:24:20.327665,1746195860.327665,s,775.265425,s,40.59375,mV,1.3541250228881836,V,41.712501525878906,°C
2025-05-02,16:24:25.289076,1746195865.289076,s,780.226836,s,40.6015625,mV,1.3537499904632568,V,41.662498474121094,°C
2025-05-02,16:24:30.331979,1746195870.331979,s,785.269739,s,40.6015625,mV,1.353124976158142,V,41.599998474121094,°C
2025-05-02,16:24:35.289681,1746195875.289681,s,790.227441,s,40.609375,mV,1.3527499437332153,V,41.54999923706055,°C
2025-05-02,16:24:40.335353,1746195880.335353,s,795.273113,s,40.609375,mV,1.3522499799728394,V,41.48749923706055,°C
2025-05-02,16:24:45.290139,1746195885.290139,s,800.227899,s,40.609375,mV,1.3518749475479126,V,41.4375,°C
2025-05-02,16:24:50.337334,1746195890.337334,s,805.275094,s,40.609375,mV,1.3513749837875366,V,41.375,°C
2025-05-02,16:24:55.291906,1746195895.291906,s,810.229666,s,40.609375,mV,1.3508750200271606,V,41.337501525878906,°C
2025-05-02,16:25:00.346118,1746195900.346118,s,815.283878,s,40.6171875,mV,1.3504999876022339,V,41.275001525878906,°C
2025-05-02,16:25:05.292958,1746195905.292958,s,820.230718,s,40.6171875,mV,1.3501249551773071,V,41.23749923706055,°C
2025-05-02,16:25:10.346480,1746195910.34648,s,825.28424,s,40.6171875,mV,1.3496249914169312,V,41.17499923706055,°C
2025-05-02,16:25:15.293405,1746195915.293405,s,830.231165,s,40.625,mV,1.3492499589920044,V,41.13750076293945,°C
2025-05-02,16:25:20.347267,1746195920.347267,s,835.285027,s,40.625,mV,1.3488750457763672,V,41.087501525878906,°C
2025-05-02,16:25:25.294145,1746195925.294145,s,840.231905,s,40.625,mV,1.3485000133514404,V,41.037498474121094,°C
2025-05-02,16:25:30.351542,1746195930.351542,s,845.289302,s,40.625,mV,1.3481249809265137,V,40.98749923706055,°C
2025-05-02,16:25:35.294678,1746195935.294678,s,850.232438,s,40.625,mV,1.347749948501587,V,40.95000076293945,°C
2025-05-02,16:25:40.353106,1746195940.353106,s,855.290866,s,40.6328125,mV,1.3473750352859497,V,40.900001525878906,°C
2025-05-02,16:25:45.295195,1746195945.295195,s,860.232955,s,40.625,mV,1.347000002861023,V,40.86249923706055,°C
2025-05-02,16:25:50.354314,1746195950.354314,s,865.292074,s,40.625,mV,1.3466249704360962,V,40.8125,°C
2025-05-02,16:25:55.295697,1746195955.295697,s,870.233457,s,40.6328125,mV,1.3463749885559082,V,40.775001525878906,°C
2025-05-02,16:26:00.356653,1746195960.356653,s,875.294413,s,40.6328125,mV,1.3459999561309814,V,40.73749923706055,°C
2025-05-02,16:26:05.296142,1746195965.296142,s,880.233902,s,40.6328125,mV,1.3456250429153442,V,40.70000076293945,°C
2025-05-02,16:26:10.357985,1746195970.357985,s,885.295745,s,40.6328125,mV,1.3452500104904175,V,40.662498474121094,°C
2025-05-02,16:26:15.297556,1746195975.297556,s,890.235316,s,40.6328125,mV,1.3450000286102295,V,40.61249923706055,°C
2025-05-02,16:26:20.359605,1746195980.359605,s,895.297365,s,40.640625,mV,1.3446249961853027,V,40.587501525878906,°C
2025-05-02,16:26:25.297996,1746195985.297996,s,900.235756,s,40.640625,mV,1.3443750143051147,V,40.54999923706055,°C
2025-05-02,16:26:30.362986,1746195990.362986,s,905.300746,s,40.640625,mV,1.3441250324249268,V,40.51250076293945,°C
2025-05-02,16:26:35.298482,1746195995.298482,s,910.236242,s,40.640625,mV,1.34375,V,40.474998474121094,°C
2025-05-02,16:26:40.366663,1746196000.366663,s,915.304423,s,40.640625,mV,1.343500018119812,V,40.4375,°C
2025-05-02,16:26:45.299972,1746196005.299972,s,920.237732,s,40.6484375,mV,1.3431249856948853,V,40.400001525878906,°C
2025-05-02,16:26:50.367912,1746196010.367912,s,925.305672,s,40.640625,mV,1.3428750038146973,V,40.375,°C
2025-05-02,16:26:55.301431,1746196015.301431,s,930.239191,s,40.640625,mV,1.3426250219345093,V,40.337501525878906,°C
2025-05-02,16:27:00.369222,1746196020.369222,s,935.306982,s,40.6484375,mV,1.3423750400543213,V,40.29999923706055,°C
2025-05-02,16:27:05.301972,1746196025.301972,s,940.239732,s,40.640625,mV,1.3421250581741333,V,40.275001525878906,°C
2025-05-02,16:27:10.373501,1746196030.373501,s,945.311261,s,40.640625,mV,1.3417500257492065,V,40.23749923706055,°C
2025-05-02,16:27:15.302484,1746196035.302484,s,950.240244,s,40.6484375,mV,1.3415000438690186,V,40.212501525878906,°C
2025-05-02,16:27:20.374926,1746196040.374926,s,955.312686,s,40.6484375,mV,1.341249942779541,V,40.17499923706055,°C
2025-05-02,16:27:25.303947,1746196045.303947,s,960.241707,s,40.6484375,mV,1.340999960899353,V,40.150001525878906,°C
2025-05-02,16:27:30.376108,1746196050.376108,s,965.313868,s,40.6484375,mV,1.340749979019165,V,40.125,°C
2025-05-02,16:27:35.304459,1746196055.304459,s,970.242219,s,40.6484375,mV,1.340499997138977,V,40.099998474121094,°C
2025-05-02,16:27:40.377547,1746196060.377547,s,975.315307,s,40.6484375,mV,1.340250015258789,V,40.0625,°C
2025-05-02,16:27:45.306327,1746196065.306327,s,980.244087,s,40.6484375,mV,1.340000033378601,V,40.037498474121094,°C
2025-05-02,16:27:50.378645,1746196070.378645,s,985.316405,s,40.6484375,mV,1.3398749828338623,V,40.01250076293945,°C
2025-05-02,16:27:55.307884,1746196075.307884,s,990.245644,s,40.65625,mV,1.3396250009536743,V,39.974998474121094,°C
2025-05-02,16:28:00.379915,1746196080.379915,s,995.317675,s,40.6484375,mV,1.3393750190734863,V,39.95000076293945,°C
2025-05-02,16:28:05.309419,1746196085.309419,s,1000.247179,s,40.6484375,mV,1.3391250371932983,V,39.92499923706055,°C
2025-05-02,16:28:10.387058,1746196090.387058,s,1005.324818,s,40.65625,mV,1.3389999866485596,V,39.900001525878906,°C
2025-05-02,16:28:15.309976,1746196095.309976,s,1010.247736,s,40.6484375,mV,1.3387500047683716,V,39.875,°C
2025-05-02,16:28:20.391351,1746196100.391351,s,1015.329111,s,40.6484375,mV,1.3385000228881836,V,39.849998474121094,°C
2025-05-02,16:28:25.310583,1746196105.310583,s,1020.248343,s,40.6484375,mV,1.3382500410079956,V,39.82500076293945,°C
2025-05-02,16:28:30.396588,1746196110.396588,s,1025.334348,s,40.65625,mV,1.3381249904632568,V,39.79999923706055,°C
2025-05-02,16:28:35.311025,1746196115.311025,s,1030.248785,s,40.6484375,mV,1.3378750085830688,V,39.775001525878906,°C
