Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2025-03-21,14:30:04.214605,1742563804.214605,s,47.592956,s,12142,
2025-03-21,14:30:04.467551,1742563804.467551,s,47.845902,s,12156,
2025-03-21,14:30:04.715444,1742563804.715444,s,48.093795,s,12191,
2025-03-21,14:30:04.968555,1742563804.968555,s,48.346906,s,12195,
2025-03-21,14:30:05.216346,1742563805.216346,s,48.594697,s,12230,
2025-03-21,14:30:05.469503,1742563805.469503,s,48.847854,s,12249,
2025-03-21,14:30:05.717110,1742563805.71711,s,49.095461,s,12281,
2025-03-21,14:30:05.970523,1742563805.970523,s,49.348874,s,12295,
2025-03-21,14:30:06.217927,1742563806.217927,s,49.596278,s,12330,
2025-03-21,14:30:06.471390,1742563806.47139,s,49.849741,s,12345,
2025-03-21,14:30:06.718800,1742563806.7188,s,50.097151,s,12380,
2025-03-21,14:30:06.974131,1742563806.974131,s,50.352482,s,12395,
2025-03-21,14:30:07.219606,1742563807.219606,s,50.597957,s,12421,
2025-03-21,14:30:07.475051,1742563807.475051,s,50.853402,s,12446,
2025-03-21,14:30:07.720730,1742563807.72073,s,51.099081,s,12467,
2025-03-21,14:30:07.976001,1742563807.976001,s,51.354352,s,12493,
2025-03-21,14:30:08.222236,1742563808.222236,s,51.600587,s,12518,
2025-03-21,14:30:08.477140,1742563808.47714,s,51.855491,s,12543,
2025-03-21,14:30:08.723339,1742563808.723339,s,52.10169,s,12565,
2025-03-21,14:30:08.978274,1742563808.978274,s,52.356625,s,12588,
2025-03-21,14:30:09.224330,1742563809.22433,s,52.602681,s,12613,
2025-03-21,14:30:09.479357,1742563809.479357,s,52.857708,s,12630,
2025-03-21,14:30:09.725433,1742563809.725433,s,53.103784,s,12656,
2025-03-21,14:30:09.980538,1742563809.980538,s,53.358889,s,12687,
2025-03-21,14:30:10.226431,1742563810.226431,s,53.604782,s,12707,
2025-03-21,14:30:10.481511,1742563810.481511,s,53.859862,s,12737,
2025-03-21,14:30:10.727398,1742563810.727398,s,54.105749,s,12753,
2025-03-21,14:30:10.982577,1742563810.982577,s,54.360928,s,12784,
2025-03-21,14:30:11.228423,1742563811.228423,s,54.606774,s,12789,
2025-03-21,14:30:11.483845,1742563811.483845,s,54.862196,s,12827,
2025-03-21,14:30:11.729462,1742563811.729462,s,55.107813,s,12840,
2025-03-21,14:30:11.984616,1742563811.984616,s,55.362967,s,12869,
2025-03-21,14:30:12.230504,1742563812.230504,s,55.608855,s,12885,
2025-03-21,14:30:12.485429,1742563812.485429,s,55.86378,s,12912,
2025-03-21,14:30:12.731408,1742563812.731408,s,56.109759,s,12937,
2025-03-21,14:30:12.986432,1742563812.986432,s,56.364783,s,12953,
2025-03-21,14:30:13.232277,1742563813.232277,s,56.610628,s,12978,
2025-03-21,14:30:13.487154,1742563813.487154,s,56.865505,s,13005,
2025-03-21,14:30:13.733145,1742563813.733145,s,57.111496,s,13021,
2025-03-21,14:30:13.987869,1742563813.987869,s,57.36622,s,13041,
2025-03-21,14:30:14.234012,1742563814.234012,s,57.612363,s,13067,
2025-03-21,14:30:14.488663,1742563814.488663,s,57.867014,s,13088,
2025-03-21,14:30:14.734824,1742563814.734824,s,58.113175,s,13114,
2025-03-21,14:30:14.989677,1742563814.989677,s,58.368028,s,13137,
2025-03-21,14:30:15.235699,1742563815.235699,s,58.61405,s,13149,
2025-03-21,14:30:15.490855,1742563815.490855,s,58.869206,s,13163,
2025-03-21,14:30:15.736576,1742563815.736576,s,59.114927,s,13204,
2025-03-21,14:30:15.991793,1742563815.991793,s,59.370144,s,13215,
2025-03-21,14:30:16.237406,1742563816.237406,s,59.615757,s,13241,
2025-03-21,14:30:16.492852,1742563816.492852,s,59.871203,s,13264,
2025-03-21,14:30:16.738391,1742563816.738391,s,60.116742,s,13275,
2025-03-21,14:30:16.993864,1742563816.993864,s,60.372215,s,13302,
2025-03-21,14:30:17.239284,1742563817.239284,s,60.617635,s,13321,
2025-03-21,14:30:17.494614,1742563817.494614,s,60.872965,s,13346,
2025-03-21,14:30:17.739722,1742563817.739722,s,61.118073,s,13356,
2025-03-21,14:30:17.995578,1742563817.995578,s,61.373929,s,13391,
2025-03-21,14:30:18.240598,1742563818.240598,s,61.618949,s,13404,
2025-03-21,14:30:18.496485,1742563818.496485,s,61.874836,s,13435,
2025-03-21,14:30:18.741448,1742563818.741448,s,62.119799,s,13448,
2025-03-21,14:30:18.997433,1742563818.997433,s,62.375784,s,13479,
2025-03-21,14:30:19.242086,1742563819.242086,s,62.620437,s,13482,
2025-03-21,14:30:19.498377,1742563819.498377,s,62.876728,s,13521,
2025-03-21,14:30:19.743245,1742563819.743245,s,63.121596,s,13515,
2025-03-21,14:30:19.999288,1742563819.999288,s,63.377639,s,13555,
2025-03-21,14:30:20.244140,1742563820.24414,s,63.622491,s,13566,
2025-03-21,14:30:20.500094,1742563820.500094,s,63.878445,s,13599,
2025-03-21,14:30:20.744911,1742563820.744911,s,64.123262,s,13604,
2025-03-21,14:30:21.001089,1742563821.001089,s,64.37944,s,13638,
2025-03-21,14:30:21.245966,1742563821.245966,s,64.624317,s,13657,
