Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,,
2024-12-11,14:48:51.506104,1733924931.506104,s,43.843128,s,71.0,°C
2024-12-11,14:48:51.752760,1733924931.75276,s,44.089784,s,71.0,°C
2024-12-11,14:48:52.007197,1733924932.007197,s,44.344221,s,71.0,°C
2024-12-11,14:48:52.253475,1733924932.253475,s,44.590499,s,71.0,°C
2024-12-11,14:48:52.508070,1733924932.50807,s,44.845094,s,71.0,°C
2024-12-11,14:48:52.754279,1733924932.754279,s,45.091303,s,71.0,°C
2024-12-11,14:48:53.009051,1733924933.009051,s,45.346075,s,71.0,°C
2024-12-11,14:48:53.255212,1733924933.255212,s,45.592236,s,71.0,°C
2024-12-11,14:48:53.509972,1733924933.509972,s,45.846996,s,71.0,°C
2024-12-11,14:48:53.755684,1733924933.755684,s,46.092708,s,71.0,°C
2024-12-11,14:48:54.010920,1733924934.01092,s,46.347944,s,71.0,°C
2024-12-11,14:48:54.257086,1733924934.257086,s,46.59411,s,71.0,°C
2024-12-11,14:48:54.511899,1733924934.511899,s,46.848923,s,71.0,°C
2024-12-11,14:48:54.758144,1733924934.758144,s,47.095168,s,71.0,°C
2024-12-11,14:48:55.012883,1733924935.012883,s,47.349907,s,71.0,°C
2024-12-11,14:48:55.259284,1733924935.259284,s,47.596308,s,71.0,°C
2024-12-11,14:48:55.513930,1733924935.51393,s,47.850954,s,71.0,°C
2024-12-11,14:48:55.760395,1733924935.760395,s,48.097419,s,71.0,°C
2024-12-11,14:48:56.015119,1733924936.015119,s,48.352143,s,71.0,°C
2024-12-11,14:48:56.261508,1733924936.261508,s,48.598532,s,71.0,°C
2024-12-11,14:48:56.516060,1733924936.51606,s,48.853084,s,71.0,°C
2024-12-11,14:48:56.762420,1733924936.76242,s,49.099444,s,71.0,°C
2024-12-11,14:48:57.017024,1733924937.017024,s,49.354048,s,71.0,°C
2024-12-11,14:48:57.263402,1733924937.263402,s,49.600426,s,71.0,°C
2024-12-11,14:48:57.517953,1733924937.517953,s,49.854977,s,71.0,°C
2024-12-11,14:48:57.764254,1733924937.764254,s,50.101278,s,71.0,°C
2024-12-11,14:48:58.022173,1733924938.022173,s,50.359197,s,71.0,°C
2024-12-11,14:48:58.264770,1733924938.26477,s,50.601794,s,71.0,°C
2024-12-11,14:48:58.522891,1733924938.522891,s,50.859915,s,71.0,°C
2024-12-11,14:48:58.765679,1733924938.765679,s,51.102703,s,71.0,°C
2024-12-11,14:48:59.023454,1733924939.023454,s,51.360478,s,71.0,°C
2024-12-11,14:48:59.266575,1733924939.266575,s,51.603599,s,71.0,°C
2024-12-11,14:48:59.524563,1733924939.524563,s,51.861587,s,71.0,°C
2024-12-11,14:48:59.767672,1733924939.767672,s,52.104696,s,71.0,°C
2024-12-11,14:49:00.025242,1733924940.025242,s,52.362266,s,71.0,°C
2024-12-11,14:49:00.268816,1733924940.268816,s,52.60584,s,71.0,°C
2024-12-11,14:49:00.526167,1733924940.526167,s,52.863191,s,71.0,°C
2024-12-11,14:49:00.769980,1733924940.76998,s,53.107004,s,71.0,°C
2024-12-11,14:49:01.027287,1733924941.027287,s,53.364311,s,71.0,°C
2024-12-11,14:49:01.271115,1733924941.271115,s,53.608139,s,71.0,°C
2024-12-11,14:49:01.528107,1733924941.528107,s,53.865131,s,71.0,°C
2024-12-11,14:49:01.772139,1733924941.772139,s,54.109163,s,71.0,°C
2024-12-11,14:49:02.029154,1733924942.029154,s,54.366178,s,71.0,°C
2024-12-11,14:49:02.273122,1733924942.273122,s,54.610146,s,71.0,°C
2024-12-11,14:49:02.530008,1733924942.530008,s,54.867032,s,71.0,°C
2024-12-11,14:49:02.773976,1733924942.773976,s,55.111,s,70.0,°C
2024-12-11,14:49:03.031091,1733924943.031091,s,55.368115,s,70.0,°C
2024-12-11,14:49:03.274795,1733924943.274795,s,55.611819,s,70.0,°C
2024-12-11,14:49:03.531930,1733924943.53193,s,55.868954,s,70.0,°C
2024-12-11,14:49:03.775484,1733924943.775484,s,56.112508,s,70.0,°C
2024-12-11,14:49:04.033088,1733924944.033088,s,56.370112,s,70.0,°C
2024-12-11,14:49:04.276585,1733924944.276585,s,56.613609,s,70.0,°C
2024-12-11,14:49:04.534078,1733924944.534078,s,56.871102,s,70.0,°C
2024-12-11,14:49:04.777591,1733924944.777591,s,57.114615,s,70.0,°C
2024-12-11,14:49:05.034861,1733924945.034861,s,57.371885,s,71.0,°C
2024-12-11,14:49:05.278718,1733924945.278718,s,57.615742,s,71.0,°C
2024-12-11,14:49:05.535781,1733924945.535781,s,57.872805,s,71.0,°C
2024-12-11,14:49:05.779800,1733924945.7798,s,58.116824,s,71.0,°C
2024-12-11,14:49:06.037224,1733924946.037224,s,58.374248,s,71.0,°C
2024-12-11,14:49:06.280969,1733924946.280969,s,58.617993,s,70.0,°C
2024-12-11,14:49:06.538223,1733924946.538223,s,58.875247,s,70.0,°C
2024-12-11,14:49:06.782055,1733924946.782055,s,59.119079,s,70.0,°C
2024-12-11,14:49:07.039190,1733924947.03919,s,59.376214,s,70.0,°C
2024-12-11,14:49:07.283139,1733924947.283139,s,59.620163,s,70.0,°C
2024-12-11,14:49:07.540255,1733924947.540255,s,59.877279,s,70.0,°C
2024-12-11,14:49:07.784219,1733924947.784219,s,60.121243,s,70.0,°C
2024-12-11,14:49:08.041817,1733924948.041817,s,60.378841,s,70.0,°C
2024-12-11,14:49:08.285135,1733924948.285135,s,60.622159,s,70.0,°C
2024-12-11,14:49:08.542909,1733924948.542909,s,60.879933,s,70.0,°C
2024-12-11,14:49:08.786293,1733924948.786293,s,61.123317,s,70.0,°C
2024-12-11,14:49:09.044078,1733924949.044078,s,61.381102,s,70.0,°C
2024-12-11,14:49:09.287446,1733924949.287446,s,61.62447,s,70.0,°C
2024-12-11,14:49:09.545074,1733924949.545074,s,61.882098,s,70.0,°C
2024-12-11,14:49:09.788692,1733924949.788692,s,62.125716,s,70.0,°C
2024-12-11,14:49:10.046193,1733924950.046193,s,62.383217,s,70.0,°C
2024-12-11,14:49:10.289869,1733924950.289869,s,62.626893,s,70.0,°C
2024-12-11,14:49:10.547440,1733924950.54744,s,62.884464,s,70.0,°C
2024-12-11,14:49:10.791008,1733924950.791008,s,63.128032,s,70.0,°C
2024-12-11,14:49:11.048821,1733924951.048821,s,63.385845,s,70.0,°C
2024-12-11,14:49:11.292173,1733924951.292173,s,63.629197,s,70.0,°C
2024-12-11,14:49:11.550048,1733924951.550048,s,63.887072,s,70.0,°C
2024-12-11,14:49:11.793086,1733924951.793086,s,64.13011,s,70.0,°C
2024-12-11,14:49:12.051176,1733924952.051176,s,64.3882,s,70.0,°C
2024-12-11,14:49:12.294008,1733924952.294008,s,64.631032,s,70.0,°C
2024-12-11,14:49:12.552343,1733924952.552343,s,64.889367,s,70.0,°C
2024-12-11,14:49:12.795071,1733924952.795071,s,65.132095,s,70.0,°C
2024-12-11,14:49:13.053596,1733924953.053596,s,65.39062,s,70.0,°C
2024-12-11,14:49:13.296149,1733924953.296149,s,65.633173,s,70.0,°C
2024-12-11,14:49:13.554591,1733924953.554591,s,65.891615,s,70.0,°C
2024-12-11,14:49:13.796640,1733924953.79664,s,66.133664,s,70.0,°C
2024-12-11,14:49:14.055725,1733924954.055725,s,66.392749,s,70.0,°C
2024-12-11,14:49:14.297740,1733924954.29774,s,66.634764,s,70.0,°C
2024-12-11,14:49:14.556982,1733924954.556982,s,66.894006,s,70.0,°C
2024-12-11,14:49:14.798826,1733924954.798826,s,67.13585,s,70.0,°C
2024-12-11,14:49:15.057906,1733924955.057906,s,67.39493,s,70.0,°C
2024-12-11,14:49:15.299982,1733924955.299982,s,67.637006,s,70.0,°C
2024-12-11,14:49:15.559078,1733924955.559078,s,67.896102,s,70.0,°C
2024-12-11,14:49:15.801369,1733924955.801369,s,68.138393,s,70.0,°C
2024-12-11,14:49:16.060227,1733924956.060227,s,68.397251,s,70.0,°C
2024-12-11,14:49:16.302577,1733924956.302577,s,68.639601,s,70.0,°C
2024-12-11,14:49:16.561274,1733924956.561274,s,68.898298,s,70.0,°C
